Wavelength nm.;Abs.;Abs.
200.00;0.338;0.335
200.20; ; 
200.40; ; 
200.60; ; 
200.80; ; 
201.00;0.333;0.336
201.20; ; 
201.40; ; 
201.60; ; 
201.80; ; 
202.00;0.339;0.339
202.20; ; 
202.40; ; 
202.60; ; 
202.80; ; 
203.00;0.344;0.343
203.20; ; 
203.40; ; 
203.60; ; 
203.80; ; 
204.00;0.348;0.346
204.20; ; 
204.40; ; 
204.60; ; 
204.80; ; 
205.00;0.349;0.347
205.20; ; 
205.40; ; 
205.60; ; 
205.80; ; 
206.00;0.351;0.348
206.20; ; 
206.40; ; 
206.60; ; 
206.80; ; 
207.00;0.351;0.348
207.20; ; 
207.40; ; 
207.60; ; 
207.80; ; 
208.00;0.351;0.348
208.20; ; 
208.40; ; 
208.60; ; 
208.80; ; 
209.00;0.351;0.347
209.20; ; 
209.40; ; 
209.60; ; 
209.80; ; 
210.00;0.350;0.346
210.20; ; 
210.40; ; 
210.60; ; 
210.80; ; 
211.00;0.349;0.345
211.20; ; 
211.40; ; 
211.60; ; 
211.80; ; 
212.00;0.349;0.345
212.20; ; 
212.40; ; 
212.60; ; 
212.80; ; 
213.00;0.348;0.344
213.20; ; 
213.40; ; 
213.60; ; 
213.80; ; 
214.00;0.347;0.343
214.20; ; 
214.40; ; 
214.60; ; 
214.80; ; 
215.00;0.346;0.342
215.20; ; 
215.40; ; 
215.60; ; 
215.80; ; 
216.00;0.346;0.341
216.20; ; 
216.40; ; 
216.60; ; 
216.80; ; 
217.00;0.345;0.341
217.20; ; 
217.40; ; 
217.60; ; 
217.80; ; 
218.00;0.344;0.340
218.20; ; 
218.40; ; 
218.60; ; 
218.80; ; 
219.00;0.344;0.339
219.20; ; 
219.40; ; 
219.60; ; 
219.80; ; 
220.00;0.343;0.338
220.20; ; 
220.40; ; 
220.60; ; 
220.80; ; 
221.00;0.343;0.338
221.20; ; 
221.40; ; 
221.60; ; 
221.80; ; 
222.00;0.342;0.338
222.20; ; 
222.40; ; 
222.60; ; 
222.80; ; 
223.00;0.342;0.338
223.20; ; 
223.40; ; 
223.60; ; 
223.80; ; 
224.00;0.342;0.337
224.20; ; 
